date,PRECP
12/31/2011,1.633303226
1/31/2012,0.965534314
2/29/2012,0.872678759
3/31/2012,0.196678495
4/30/2012,0.293345161
5/31/2012,1.110645161
6/30/2012,4.785555557
7/31/2012,9.33297491
8/31/2012,11.9125448
9/30/2012,8.414767024
10/31/2012,4.039498209
11/30/2012,0.80437276
12/31/2012,0.662628315
1/31/2013,0.509844444
2/28/2013,0.3481
3/31/2013,0.3481
4/30/2013,0.3481
5/31/2013,0.3481
6/30/2013,3.350955556
7/31/2013,7.654277062
8/31/2013,10.88017921
9/30/2013,10.44129032
10/31/2013,8.185376344
11/30/2013,5.260107527
12/31/2013,2.580107527
1/31/2014,0.416666667
2/28/2014,0.116033333
3/31/2014,0.788076344
4/30/2014,0.904109677
5/31/2014,2.874097849
6/30/2014,2.705272123
7/31/2014,6.277410833
8/31/2014,7.533324811
9/30/2014,9.202329749
10/31/2014,6.524910394
11/30/2014,3.288530466
12/31/2014,1.930443826
1/31/2015,0.919691138
2/28/2015,0.930168915
3/31/2015,0.232066667
4/30/2015,0.3481
5/31/2015,1.570776344
6/30/2015,3.6936319
7/31/2015,5.550716846
8/31/2015,8.674372759
9/30/2015,8.696594981
10/31/2015,7.922401432
11/30/2015,4.382258065
12/31/2015,2.723297491
1/31/2016,1.52437276
2/29/2016,0.718183871
3/31/2016,0.232066667
4/30/2016,0.487622222
5/31/2016,1.597395341
6/30/2016,3.786917563
7/31/2016,7.525985664
8/31/2016,10.56899642
9/30/2016,10.06899642
10/31/2016,6.939964157
11/30/2016,3.877209307
12/31/2016,2.071653751
1/31/2017,1.206062353
2/28/2017,0.116033333
3/31/2017,0.126786022
4/30/2017,0.821230466
5/31/2017,2.242831541
6/30/2017,3.426523297
7/31/2017,7.601971326
8/31/2017,10.03637993
9/30/2017,12.46971326
10/31/2017,9.336379926
11/30/2017,5.969892472
12/31/2017,2.342114695
