Date,SDEM
10-Feb-1990,32914
1-Jun-1992,33756
20-Jul-1992,33805
22-Aug-1992,33838
1-May-1993,34090
15-May-1993,34104
28-Aug-1994,34574
3-Sep-1994,34580
16-Aug-2004,38215
17-Aug-2004,38216
5-Sep-2005,38600
6-Sep-2005,38601
7-Sep-2005,38602
17-Jul-2006,38915
18-Jul-2006,38916
28-Jul-2006,38926
10-Aug-2007,39304
14-Aug-2007,39308
22-Aug-2007,39316
23-Aug-2007,39317
24-Aug-2007,39318
25-Aug-2007,39319
11-Aug-2007,39305
4-Dec-2007,39420
1-Aug-2008,39661
2-Aug-2008,39662
3-Aug-2008,39663
4-Aug-2008,39664
5-Aug-2008,39665
12-Aug-2010,40402
20-Aug-2010,40410
10-Oct-2011,40826
11-Oct-2011,40827
12-Oct-2011,40828
26-Aug-2014,41877
27-Aug-2014,41878
28-Aug-2014,41879
29-Aug-2014,41880
30-Aug-2014,41881
31-Aug-2014,41882
1-Sep-2014,41883
11-Aug-2015,42227
12-Aug-2015,42228
13-Aug-2015,42229
14-Aug-2015,42230
15-Aug-2015,42231
16-Aug-2015,42232
17-Aug-2015,42233
18-Aug-2015,42234
19-Aug-2015,42235
20-Aug-2015,42236
21-Aug-2015,42237
22-Aug-2015,42238
26-Aug-2015,42242
27-Aug-2015,42243
28-Aug-2015,42244
29-Aug-2015,42245
30-Aug-2015,42246
31-Aug-2015,42247
1-Sep-2015,42248
2-Sep-2015,42249
3-Sep-2015,42250
4-Sep-2015,42251
5-Sep-2015,42252
6-Sep-2015,42253
7-Sep-2015,42254
20-Jul-2016,42571
23-Jul-2016,42574
27-Jul-2016,42578
28-Jul-2016,42579
1-Aug-2016,42583
15-Aug-2016,42597
16-Aug-2016,42598
24-Aug-2016,42606
26-Aug-2016,42608
