date,SEDM,ANN,WANN,LSTM,GRU,CNN,ConvLSTM
12/31/2011,447.1936587,4680.43,1468.8058,7313.9355,2569.951,6255.189,3744.6938
1/31/2012,309.2326274,3196.4521,-425.32828,4988.4375,721.77594,3966.9915,1552.6389
2/29/2012,144.0822263,2227.7253,-806.04083,3035.386,-132.01663,1851.6019,760.29016
3/31/2012,37.9066605,542.3464,-304.1109,1149.6196,-500.5871,753.6011,525.82654
4/30/2012,43.97081238,-28.214771,463.82214,796.9574,-487.12167,-203.86787,362.65213
5/31/2012,73.10420193,887.4362,2692.1155,1764.9313,-211.33762,-601.2958,386.68964
6/30/2012,114.1181341,4362.6274,11532.312,5462.367,4473.2783,1383.2605,6357.077
7/31/2012,17829.17941,14838.888,21347.602,14575.18,16104.235,9034.397,19001.094
8/31/2012,24879.99781,23157.646,18351.977,22916.97,26290.32,17396.756,27521.148
9/30/2012,27749.95296,22480.691,10930.809,19458.143,22381.225,19319.336,19967.557
10/31/2012,10036.33152,9243.425,3494.4587,7188.0703,8190.1855,9871.621,7664.055
11/30/2012,3005.054001,3478.8035,1226.5089,-31.7089,729.137,4450.806,464.56293
12/31/2012,75.89915968,952.9451,-1482.3252,-1155.4421,-204.2281,879.7821,160.608
1/31/2013,53.70390505,-627.8377,-3531.9285,-568.20123,76.84637,17.902811,126.27602
2/28/2013,5.02963285,-370.20544,-1885.2607,-304.68945,33.617405,-59.03857,-53.468407
3/31/2013,5.923001257,-928.44946,2223.1958,-165.2045,-29.738026,-128.27702,-125.48792
4/30/2013,7.383141016,1280.4192,4343.733,103.76171,-162.12978,370.3358,-122.26565
5/31/2013,9.200421517,865.9013,5800.424,1132.3685,246.53209,798.70917,1.8770295
6/30/2013,389.1228492,7304.7944,16917.635,7041.7695,9859.955,9781.27,5812.369
7/31/2013,19370.27464,20296.777,37968.47,19637.736,19644.16,20164.018,20625.002
8/31/2013,27061.05866,28857.713,27682.918,30216.506,30329.898,28215.58,31404.959
9/30/2013,31980.66624,28902.812,13767.809,25959.062,28921.592,24837.354,28544.809
10/31/2013,13373.34244,14758.812,5496.6553,13876.122,14405.656,10181.161,15758.582
11/30/2013,5785.982278,6393.2847,618.12836,4704.5938,5731.3384,4586.5825,6552.021
12/31/2013,509.6442085,1200.5741,-2592.1345,906.89417,540.9107,1035.4156,605.3604
1/31/2014,144.2106772,-991.2076,-4508.4624,-643.5953,386.45087,563.18176,280.64636
2/28/2014,38.96954022,-1055.1725,-2486.2097,-778.8044,419.37482,-80.33485,182.68115
3/31/2014,35.92373003,-582.4312,1277.3782,-561.68304,319.4084,-352.76782,32.89538
4/30/2014,27.52926944,884.77954,4160.5083,-828.3906,161.90881,657.544,-43.4583
5/31/2014,307.499668,1404.6438,4259.7627,1286.826,188.71654,1176.3359,221.05501
6/30/2014,378.6173818,2624.0657,10178.901,3438.6343,536.17395,3138.6345,681.97516
7/31/2014,14703.17301,14339.738,25708.705,12509.301,14087.587,17251.508,14530.537
8/31/2014,20820.03741,22006.346,23615.373,21552.424,20202.445,24283.807,21337.016
9/30/2014,25694.11403,23661.785,17630.498,25592.998,22715.684,26892.855,24913.814
10/31/2014,11678.91594,13122.927,5931.856,16708.875,12780.48,15196.78,14771.669
11/30/2014,5392.473975,5375.244,1611.1139,6477.2446,5752.9126,6160.814,6216.4736
12/31/2014,556.0397174,1792.3925,-1468.4305,2981.438,1383.4836,703.8888,823.36926
1/31/2015,270.309606,648.3447,-2938.109,1632.5741,652.313,1254.1952,509.12634
2/28/2015,159.9167683,1669.6772,-1933.2042,1234.814,451.8591,546.6695,460.55402
3/31/2015,31.01056814,784.13116,489.2242,-57.629482,101.11849,653.84045,280.39572
4/30/2015,7.383141016,1008.1288,3458.7239,-694.7914,-43.788025,36.05496,114.70773
5/31/2015,237.0639887,620.14325,3595.7458,835.9515,50.61747,1089.3851,224.211
6/30/2015,792.708676,4914.2656,10902.271,6055.49,3465.2507,3949.956,5308.468
7/31/2015,13546.8478,16882.043,26868.81,14383.2,14975.613,14891.527,16242.64
8/31/2015,24151.38652,23854.477,25133.75,25313.156,24674.775,23744.502,25893.002
9/30/2015,29946.35517,23454.277,16550.11,25786.895,24107.92,24560.566,25297.951
10/31/2015,17370.40656,13938.265,7514.549,16975.8,13098.026,14856.86,15547.635
11/30/2015,6715.128805,5212.642,614.01953,6393.099,5078.581,6611.1323,6531.498
12/31/2015,545.3280943,1111.2711,-1896.8352,2643.928,933.5095,1699.8412,878.88794
1/31/2016,404.1913797,1196.9895,-3208.7957,2003.4078,1060.9825,1786.8069,604.3255
2/29/2016,225.2495709,1586.1252,-1954.7438,1357.259,791.02936,841.8768,503.69858
3/31/2016,44.43694727,1746.2748,700.1118,-117.24603,257.6178,490.33496,342.64417
4/30/2016,96.13439104,1007.085,3195.0896,-619.8067,205.62413,1338.678,187.67001
5/31/2016,475.0873043,2356.839,5284.4736,1364.0817,533.1227,2156.2173,374.4714
6/30/2016,1053.490279,6406.94,12428.642,6952.403,3143.4783,6698.692,6270.985
7/31/2016,19136.20295,21263.123,31550.686,18722.281,18107.66,20461.625,21044.53
8/31/2016,31827.06455,29531.355,28846.541,30508.982,29998.32,28605.832,31151.615
9/30/2016,36499.46967,25619.945,20256.762,29799.88,26298.047,28816.566,28632.33
10/31/2016,18658.53008,13659.197,7901.317,16456.59,13949.557,15666.8,15774.076
11/30/2016,6087.733059,7276.3115,2219.541,8213.389,7017.248,8177.322,8228.061
12/31/2016,937.5435833,3449.0835,-126.01051,5256.214,2868.6785,5031,1756.2633
1/31/2017,643.9101365,3280.0627,-2544.0706,4389.179,2059.3025,3834.76,764.5285
2/28/2017,144.8926462,2120.5796,-2027.9115,1580.9513,670.72296,1829.9275,470.30127
3/31/2017,76.1862486,538.6382,228.04213,-101.410255,531.7279,-189.36,359.7801
4/30/2017,148.6107383,-95.58154,2686.6018,-802.5094,489.216,1021.07117,248.61713
5/31/2017,344.5520831,575.7514,3964.7332,290.53595,437.32388,873.83514,363.12698
6/30/2017,520.5870625,2961.4006,11325.478,2979.7905,349.94965,3818.9114,731.0363
7/31/2017,18397.41655,19030.457,45562.055,17019.646,15718.32,18239.236,20066.014
8/31/2017,26401.77075,30741.85,34317.1,31206.94,32483.193,29610.373,32384.096
9/30/2017,32896.61457,36026.836,20948.191,38225.62,38348.08,35980.977,38570.023
10/31/2017,15261.53602,17775.232,5330.063,21434.691,18226.65,23341.482,20697.635
11/30/2017,7180.335629,5491.192,2133.4177,6430.0664,6060.305,7494.181,8260.959
12/31/2017,524.5967725,-1140.2582,-3933.27,444.37708,403.5199,1542.9216,668.77686
